Symbol,metap,metafc,idx
ROGDI,5.851607150522748e-7,3.4363087193816115,21.417566706545685
ST8SIA6,2.9761270083392032e-8,-1.9461325134034217,-14.64727159876824
ABT1,1.6379004425868737e-6,-2.529409195679906,-14.634434400393106
DNAAF1,2.820610141990184e-5,2.931136981551154,13.335667700955927
TCAP,4.13670896802424e-4,3.7525273620845825,12.69609480858644
KMT5C,8.465527601411789e-11,1.2178653892618467,12.266761545478229
ZNF500,2.1417286013000883e-7,1.8302955588673955,12.206672233063554
ERP44,8.558710134696337e-6,-2.1820951677503606,-11.057967321433582
CEP162,3.366926745460041e-7,-1.0728422251978391,-6.944257035339339
GAR1,6.972812095093436e-8,0.9682188228810255,6.929147118971457
CCDC66,2.0426565060122607e-4,1.8419267231492371,6.79634980345731
KRT10,0.002809887988629274,2.63294799147495,6.717469152423381
ATP2B2,0.010897725506270004,3.266754988038514,6.411542854084116
PROSER1,1.111021830813938e-10,-0.6418375687272923,-6.389029209594782
PCMT1,1.0773222190818041e-4,1.3851716978448934,5.495882558183929
NR1H2,7.474609835349788e-5,1.321986670665762,5.455060963671307
CYB5R4,7.0741956306734086e-6,-1.0510309886097335,-5.413149005320198
COPE,6.220716627920488e-9,-0.6573340368550273,-5.394188004854667
EIF5,8.544043821485522e-4,1.7166089843706671,5.2671340593800995
ZDHHC15,1.2439793810709953e-11,0.4788478664369005,5.221925440898165
LMBRD1,8.566839423619608e-10,-0.5561851389075376,-5.043030419302618
TINF2,4.5866115026043125e-5,1.145073274080831,4.967909610720673
NOL7,5.000691796837617e-6,-0.9281766969569756,-4.920236742763024
ANXA7,2.789348248976469e-7,-0.7462046092049608,-4.8909960670767125
TMEM11,5.062269027764346e-5,-1.133354657354508,-4.868500349649815
ARHGAP15,1.4175783152549857e-9,-0.5330761107347565,-4.716898878647863
TMEM132A,8.446669900091346e-4,1.5284097553838327,4.697283829418741
SCN4B,3.221116669978883e-5,-1.0359972391745542,-4.653692910591911
P2RX6,2.3488081411478622e-4,1.2643921109669276,4.588671735448913
TSSK6,9.574812955838991e-5,1.1343031671528838,4.558616630477448
LRRD1,2.3030304034204498e-5,-0.9699548894931173,-4.498360109793424
ABCA7,3.511973382401697e-8,-0.601866366468562,-4.486582003841582
NEDD1,2.91100665266462e-8,0.5689828118252082,4.287829891021335
EYS,1.3956563873562282e-9,-0.47681564072328786,-4.222308109687877
ASCC1,8.101061757142939e-6,-0.8261179961527825,-4.206145127578819
ACOT11,8.83623826720084e-4,1.373913979063821,4.195565882716709
OTUD6B,0.0059045034417368305,-1.8607476447491034,-4.147265276075453
B3GALT2,3.125388352422507e-6,-0.7178674946022131,-3.9519294807405845
ENOSF1,3.968639321186777e-6,0.7295265769615841,3.9404344818449126
CYP1A1,0.07670202170720852,3.532600775533285,3.9395323235985216
ERFE,0.011539757285992313,1.9551542307039924,3.7887043701936065
MAU2,2.9034617049637104e-5,0.827723166757129,3.755449451642257
FAM200A,0.0022350745820730105,1.405396419578655,3.725295504922735
ZFP69B,6.994702218425861e-10,-0.40490051851603437,-3.7069576858083457
MDH1,9.006138520911785e-8,-0.5090069963013271,-3.586189133348355
TIPRL,7.728730282726097e-7,-0.5694415780566718,-3.480365339092491
ATPAF2,5.584547618795631e-4,-1.067085276236352,-3.471241210253887
TLK1,3.499899205880031e-4,-0.9928788180665635,-3.4313340535099597
ZFY,2.7752306821264935e-8,-0.4524846350855138,-3.4192910544848347
OR5K2,0.0012863036379724751,-1.1695972831826102,-3.3809039914378536
ETV6,0.011171657954691078,1.7057308563110043,3.3293859858269212
RAB36,0.0023325503449770765,1.2581957789056621,3.31178389222075
TDRD3,1.3264948715307584e-10,0.33159601676423833,3.2752714876512274
PCNT,0.011397867594337821,-1.675993514170902,-3.25675103055851
PDIA2,0.02229241034158525,-1.9677641503973726,-3.2504373811726714
CACNA1G,0.04518219803811994,2.3782940738533136,3.198883169227721
ZNF112,5.631342506160489e-5,0.7392439466402694,3.141334398399297
AJAP1,0.001152519376245788,1.0650839917313688,3.129591426427722
TNFRSF13C,7.451355256679636e-10,-0.34209870419765837,-3.122596486471487
SLC2A5,0.0013351509842376252,1.0809330048426844,3.107109083413386
DCLK2,4.55695586311098e-4,0.9230460384518495,3.084196968550823
STARD3,8.416103831025381e-5,0.7508329062821835,3.0595606869662726
POLH,0.0387104435640961,-2.1442104136878966,-3.0279935915839453
SKOR1,0.03518162000198655,-2.0743784965390377,-3.0154911758195646
PRR4,0.006593182527188876,1.3814268184889422,3.0127605187892064
OR56B2P,0.04412101670322291,-2.1924947029439403,-2.9716075365291283
PAN3,4.4232817379337474e-4,0.8774805294600583,2.943293802279961
FAT2,7.384433482627205e-10,-0.3203635567443032,-2.925458386374002
TTC4,0.00248582011094722,1.104275910490896,2.876120071465684
CD109,8.130061600284831e-4,0.9184457744296047,2.8379112595333065
MKKS,2.520537669431105e-6,-0.501562609454018,-2.808001683489538
WDR59,1.6119365502322452e-6,0.4787123502130374,2.773014080215083
DGCR2,5.675339889948815e-5,0.6362016292901244,2.7013172864237625
PRMT1,0.00964594913633763,-1.3354605904011625,-2.691827859705699
HELLS,2.4318569363289584e-6,0.47389733622087166,2.660489016634903
SMIM10L1,0.00421391330873071,1.1181998688127555,2.656076254063688
GLYATL1,0.14310810646669275,-3.009597334312173,-2.5411106664188674
GNG3,1.3365564323499917e-4,0.6555039923793554,2.5394307911507514
PPFIBP2,6.921378692363735e-6,-0.4846951075793686,-2.5009333971942107
CFAP20,1.269269638052838e-7,-0.3621698422650269,-2.4976847993035887
