Symbol,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,ndeg,ddeg,idx,degvcount
HOXA1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
IFFO2,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
IFI44,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
IL17C,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
ILK,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
ING3,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
INO80C,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
IRF7,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
JUNB,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
KCNK12,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
KIF5A,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
L3MBTL4,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
LAYN,1,0,0,1,0,1,1,0,4,4,16,1.Unperturbed
LOXL2,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
LSM6,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
LYZ,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
MAP4K5,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
MAPK1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
MARCHF5,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
MARS2,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
MED16,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
MICALL1,-1,0,0,-1,-1,-1,0,0,4,-4,-16,0.Down-regulated
MPP2,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
MRPL11,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
MRPL14,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
MYO5A,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
NBPF10,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
NBPF15,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
NHSL1,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
NMT1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
NOP56,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
NPIPA5,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
NR1I3,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
NRIP2,0,0,0,-1,-1,-1,-1,0,4,-4,-16,0.Down-regulated
NUBPL,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
NUTM2G,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
OTULINL,1,0,0,1,0,1,1,0,4,4,16,1.Unperturbed
OTX1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
OXLD1,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
PAFAH2,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
PAPOLB,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
PAPSS2,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
PCGF5,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
PET117,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
PHB2,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
PHRF1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
PIBF1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
PIGH,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
PIK3CA,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
PKNOX1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
PLSCR1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
PLXNA4,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
PNPLA2,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
POLG,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
POM121C,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
PPM1M,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
PPP1CC,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
PPP1R9A,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
PPP2R5E,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
PSMB3,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
PTCH1,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
PTPRO,1,0,0,1,1,NA,1,0,4,4,16,1.Unperturbed
