Symbol,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,ndeg,ddeg,idx,degvcount
IFI44,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
IFI44L,1,0,0,1,1,NA,1,0,4,4,16,1.Unperturbed
ILK,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
INPP1,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
ITFG2,0,0,0,-1,-1,-1,-1,0,4,-4,-16,0.Down-regulated
KIAA0232,-1,0,0,-1,-1,-1,0,0,4,-4,-16,0.Down-regulated
KIF11,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
KISS1R,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
KLF12,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
KLLN,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
KRBA2,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
LDHD,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
LIME1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
LNPEP,1,0,0,1,0,1,1,0,4,4,16,1.Unperturbed
LRRC8C,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
LSG1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
MAP9,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
MARCHF5,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
MARCHF7,1,0,NA,1,1,NA,1,0,4,4,16,1.Unperturbed
MAVS,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
METAP2,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
MME,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
MTMR12,1,0,0,1,0,1,1,0,4,4,16,1.Unperturbed
NBPF15,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
NCBP2,1,0,0,1,1,0,1,NA,4,4,16,1.Unperturbed
NFU1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
NHEJ1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
NQO1,1,0,0,1,1,NA,1,0,4,4,16,1.Unperturbed
NR1I3,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
NUDT6,0,0,1,1,1,0,0,1,4,4,16,1.Unperturbed
NUP205,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
OLFML2A,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
OSGEP,1,0,0,1,0,1,1,0,4,4,16,1.Unperturbed
P3H2,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
